Sample_ID,UMAP_1,UMAP_2,leiden_clusters
TCGA-AR-A1AR-01,2.3979855,7.019309,3
TCGA-AR-A1AS-01,2.2554235,13.228331,0
TCGA-BH-A0B5-11,-3.9694664,9.637122,4
TCGA-BH-A18J-01,2.2115307,10.7282505,2
TCGA-E2-A15K-06,2.0732613,14.789557,0
TCGA-E2-A14W-01,3.6715217,12.74236,0
TCGA-BH-A18R-11,-2.331849,9.301294,4
TCGA-E2-A1B1-01,1.7627733,11.219754,2
TCGA-AR-A1AH-01,4.464777,6.5504937,3
TCGA-E2-A14S-01,4.0743303,14.174562,0
TCGA-BH-A1ES-01,2.7260184,12.917275,0
TCGA-BH-A0BF-01,2.2324367,11.261715,2
TCGA-BH-A0HA-11,-1.7975924,10.26783,4
TCGA-BH-A18M-11,-3.0576947,10.00149,4
TCGA-E2-A1AZ-01,2.46794,7.152907,3
TCGA-BH-A18H-01,3.5349808,11.538501,0
TCGA-AR-A1AX-01,1.4499271,10.79021,2
TCGA-BH-A18N-11,-2.7765696,9.954107,4
TCGA-E2-A150-01,2.891743,6.5309563,3
TCGA-BH-A18S-01,2.6991363,14.604994,0
TCGA-BH-A1EV-01,3.0672443,11.252632,1
TCGA-BH-A18N-01,3.4466546,14.399416,0
TCGA-AR-A1AN-01,0.07773224,12.382965,2
TCGA-E2-A15L-01,1.7565616,13.675706,0
TCGA-E2-A153-01,1.6879028,11.709127,2
TCGA-E2-A15M-01,0.6921753,10.311282,2
TCGA-BH-A1F0-01,2.3601794,7.4187226,3
TCGA-AR-A1AI-01,2.7965837,6.8375797,3
TCGA-E2-A1B4-01,0.97600794,13.7237215,0
TCGA-E2-A14Q-01,0.866759,12.75592,0
TCGA-BH-A0DT-01,1.3362566,11.831861,2
TCGA-E2-A14N-01,3.8359957,7.010891,3
TCGA-BH-A18L-01,4.172845,13.041282,0
TCGA-C8-A1HF-01,3.1252325,10.389056,1
TCGA-E2-A15E-06,2.8140745,14.178876,0
TCGA-E2-A1B0-01,3.1308527,9.561906,1
TCGA-AR-A1AQ-01,2.648351,6.9263444,3
TCGA-BH-A18U-01,3.5535877,11.53768,1
TCGA-BH-A0DI-01,1.9106299,11.373264,2
TCGA-BH-A0BS-01,2.8626919,12.460347,0
TCGA-BH-A18U-11,-2.8497066,9.612999,4
TCGA-BH-A0BZ-11,-3.545419,9.702783,4
TCGA-AR-A1AU-01,2.018648,11.830034,2
TCGA-BH-A0AU-01,2.823463,11.451473,2
TCGA-E2-A15I-11,-3.857153,9.561346,4
TCGA-E2-A15H-01,2.7781358,12.59999,0
TCGA-E2-A1B5-01,3.5574727,7.6502542,3
TCGA-BH-A1ET-11,-3.1583815,9.622584,4
TCGA-E2-A153-11,-1.8479514,9.255281,4
TCGA-BH-A0C3-11,-2.1632242,10.055172,4
TCGA-BH-A1F0-11,-3.1831014,9.492049,4
TCGA-E2-A14V-01,3.6387494,11.940141,0
TCGA-E2-A1BC-01,1.2771347,12.994759,0
TCGA-E2-A15K-01,1.1132108,13.616636,0
TCGA-C8-A1HG-01,3.1631637,11.061362,1
TCGA-E2-A15G-01,1.6911815,14.423768,0
TCGA-C8-A12Y-01,2.9688122,12.25773,0
TCGA-E2-A1BD-01,1.0514183,13.193393,0
TCGA-E2-A15J-01,1.1669381,14.154567,0
TCGA-E2-A158-01,3.7120812,5.7543745,3
TCGA-BH-A0HA-01,0.01670546,12.276236,2
TCGA-E2-A14P-01,3.9122703,10.464509,1
TCGA-BH-A0DO-01,0.008902505,12.423748,2
TCGA-BH-A18I-01,1.0131332,11.562621,2
TCGA-E2-A1B6-01,0.97304577,10.83653,2
TCGA-AR-A1AK-01,1.7482362,11.467686,2
TCGA-E2-A152-01,3.088201,10.958926,1
